short_name,long_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,power_shot_power,power_stamina,power_strength,mentality_vision,mentality_penalties,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,mentality_interceptions,power_jumping,overall,player_tags,"resource player"
"E. Gutiérrez","Érick Gabriel Gutiérrez Galaviz",69,68,52,77,65,73,71,67,75,77,76,73,77,78,63,78,67,68,57,7,14,10,8,66,46,74,,http://dbpedia.org/resource/Érick_Gutiérrez
"L. Mousset","Lys Mousset",54,76,68,61,66,75,62,41,44,73,79,80,76,68,77,56,70,20,17,12,14,13,6,22,67,74,,http://dbpedia.org/resource/Lys_Mousset
Danilo,"Danilo Barbosa da Silva",63,59,76,77,65,72,71,71,71,74,67,68,72,78,76,73,60,75,71,13,6,11,11,73,83,74,,http://dbpedia.org/resource/Danilo_Barbosa
"K. Ehizibue","Kingsley Ehizibue",71,54,67,66,42,74,57,38,66,71,86,94,70,85,79,62,44,68,70,13,10,7,11,65,74,74,#Speedster,http://dbpedia.org/resource/Kingsley_Ehizibue
"V. Guzmán","Víctor Alfonso Guzmán Guzmán",63,73,79,79,48,75,63,67,74,76,74,75,75,75,70,74,70,65,67,14,8,15,10,70,80,74,,"http://dbpedia.org/resource/Víctor_Guzmán_(footballer,_born_1995)"
"A. Ounas","Adam Ounas",68,64,51,75,66,80,72,62,65,78,87,82,70,72,55,74,60,54,47,8,6,8,7,47,61,74,,http://dbpedia.org/resource/Adam_Ounas
"Y. Osorio","Yordan Hernando Osorio Paredes",33,25,72,64,35,44,31,32,38,59,55,55,40,71,86,33,40,75,73,11,9,10,13,73,73,74,,http://dbpedia.org/resource/Yordan_Osorio
"M. Gregoritsch","Michael Gregoritsch",65,73,73,74,75,72,81,76,70,74,55,59,79,69,79,73,64,40,38,10,6,9,16,33,34,74,,http://dbpedia.org/resource/Michael_Gregoritsch
"B. Raman","Benito Raman",67,78,64,74,73,81,72,67,57,77,89,76,76,79,41,64,65,33,31,13,8,16,10,31,71,74,,http://dbpedia.org/resource/Benito_Raman
"Fede Vico","Federico Vico Villegas",75,68,43,77,47,77,74,65,74,76,74,71,64,62,44,75,73,56,54,9,13,12,13,53,66,74,,http://dbpedia.org/resource/Fede_Vico
"O. Selnæs","Ole Kristian Selnæs",69,64,74,75,66,72,73,76,76,76,67,67,72,83,77,76,64,65,64,12,13,8,12,76,78,74,,http://dbpedia.org/resource/Ole_Selnæs
"V. Verre","Valerio Verre",70,74,66,75,70,74,72,72,70,77,71,66,75,72,62,73,75,65,65,5,13,9,8,64,70,74,,http://dbpedia.org/resource/Valerio_Verre
"E. Krafth","Emil Krafth",68,41,64,70,46,68,70,54,62,71,64,74,70,75,67,60,54,75,73,8,13,15,14,72,68,74,,http://dbpedia.org/resource/Emil_Krafth
Dória,"Matheus Dória Macedo",47,53,74,67,20,56,71,64,63,63,58,58,81,63,82,51,35,75,73,12,11,10,11,70,72,74,,http://dbpedia.org/resource/Dória
"Jordi Quintillà","Jordi Quintillà Guasch",65,66,54,76,51,72,73,77,76,78,67,70,70,81,60,76,72,64,56,9,10,12,13,62,56,74,,http://dbpedia.org/resource/Jordi_Quintillà
"R. Durmisi","Riza Durmisi",74,53,70,74,54,73,72,71,63,73,75,80,79,78,55,72,40,72,70,10,6,6,11,69,78,74,,http://dbpedia.org/resource/Riza_Durmisi
"T. Boyd","Tyler Boyd",69,74,44,72,75,76,74,70,44,73,86,84,79,70,63,68,65,14,12,8,7,14,14,12,59,74,,http://dbpedia.org/resource/Tyler_Boyd_(soccer)
"A. Scholz","Alexander Scholz",51,46,70,73,55,62,40,38,69,69,65,70,60,74,83,62,36,74,73,14,6,10,11,74,66,74,,http://dbpedia.org/resource/Alexander_Scholz
"J. Ledesma","Jeremías Ledesma",15,13,15,31,14,15,16,13,22,11,49,42,48,40,60,36,22,13,12,75,71,64,73,20,67,74,,http://dbpedia.org/resource/Jeremías_Ledesma
"A. Zeneli","Arbër Zeneli",73,68,50,69,62,83,78,67,56,77,84,83,77,68,55,71,71,33,24,10,8,10,7,38,31,74,,http://dbpedia.org/resource/Arbër_Zeneli
Vigaray,"Carlos Martín Vigaray",70,53,66,67,40,69,58,45,52,70,74,71,48,83,76,52,45,76,74,7,13,6,9,71,66,74,,http://dbpedia.org/resource/Carlos_Vigaray
"A. Briançon","Anthony Briançon",36,34,74,73,40,45,41,39,67,65,64,51,68,75,81,59,43,74,72,15,7,13,13,76,73,74,,http://dbpedia.org/resource/Anthony_Briançon
Murilo,"Murilo de Souza Costa",66,69,58,66,68,77,69,72,57,76,91,88,76,77,71,65,70,21,23,13,11,8,9,23,66,74,,http://dbpedia.org/resource/Murilo_Costa
"R. Assalé","Roger Claver Djapone Assalé",68,77,54,72,69,81,62,60,57,77,92,88,76,77,42,71,56,35,26,13,15,7,14,21,48,74,"#Speedster, #Acrobat",http://dbpedia.org/resource/Roger_Assalé
Kaku,"Alejandro Romero Gamarra",65,65,30,75,51,77,73,66,75,75,85,79,69,78,58,73,61,53,55,12,14,7,7,42,52,74,,http://dbpedia.org/resource/Kaku_(footballer)
"O. Colley","Omar Colley",44,28,79,62,24,44,38,37,52,62,54,75,41,76,88,32,33,77,74,8,7,7,14,70,62,74,#Strength,http://dbpedia.org/resource/Omar_Colley
"S. Thioub","Sada Thioub",71,73,54,72,68,77,69,61,63,76,77,81,71,71,81,66,67,21,16,8,12,7,16,21,53,74,,http://dbpedia.org/resource/Sada_Thioub
"Iván Alejo","Iván Alejo Peralta",77,73,47,75,56,78,70,68,71,75,73,80,70,61,63,68,47,39,42,9,12,14,14,39,68,74,,http://dbpedia.org/resource/Iván_Alejo
Bernardo,"Bernardo Fernandes da Silva Junior",67,30,67,70,53,68,47,32,58,71,68,74,72,74,70,58,43,75,76,15,12,13,14,72,78,74,,"http://dbpedia.org/resource/Bernardo_(footballer,_born_1995)"
"K. Pedersen","Kristian Pedersen",68,30,75,66,28,67,36,25,47,66,66,67,49,90,82,55,30,75,70,6,7,7,15,78,70,74,,http://dbpedia.org/resource/Kristian_Pedersen
"Pedro Rebocho","Pedro Miguel Braga Rebocho",75,45,64,74,49,75,72,68,72,74,74,74,78,78,69,49,53,74,73,6,9,6,7,69,81,74,,http://dbpedia.org/resource/Pedro_Rebocho
"J. Brabec","Jakub Brabec",54,42,69,69,51,59,39,29,69,69,68,72,67,66,83,60,49,75,75,10,12,6,16,74,72,74,,http://dbpedia.org/resource/Jakub_Brabec
"J. Uronen","Jere Juhani Uronen",76,47,56,70,54,68,73,67,67,66,72,75,75,89,69,62,44,73,70,7,10,8,10,71,72,74,#Engine,http://dbpedia.org/resource/Jere_Uronen
"J. Brenet","Joshua Brenet",70,36,65,68,35,74,30,31,61,69,86,84,30,74,66,56,56,70,75,16,11,13,10,70,59,74,,http://dbpedia.org/resource/Joshua_Brenet
"B. Dack","Bradley Dack",68,75,64,73,61,76,76,69,69,75,79,73,70,71,77,73,62,56,48,10,7,15,16,55,58,74,,http://dbpedia.org/resource/Bradley_Dack
"E. Sobol","Eduard Sobol",74,55,37,75,35,72,72,72,72,76,72,79,77,86,69,68,34,71,67,11,11,9,13,74,67,74,,http://dbpedia.org/resource/Eduard_Sobol
"A. Masina","Adam Masina",76,30,72,69,37,69,64,35,68,73,60,73,63,76,75,60,31,75,76,14,14,13,7,72,64,74,,http://dbpedia.org/resource/Adam_Masina
"C. Espinoza","Cristian Omar Espinoza",73,63,42,71,66,77,60,61,62,73,87,84,75,77,60,71,58,33,36,16,8,12,7,30,44,74,,http://dbpedia.org/resource/Cristian_Espinoza
"D. Barbona","David Matías Barbona",73,66,45,73,60,74,71,67,69,71,76,85,68,74,70,75,59,40,38,8,6,13,12,30,65,74,,http://dbpedia.org/resource/David_Barbona
"M. Olunga","Michael Olunga Ogada",34,78,77,63,73,68,51,36,40,70,73,83,80,63,92,45,70,18,13,5,8,10,14,36,71,74,#Strength,http://dbpedia.org/resource/Michael_Olunga
"M. Mohammadi","Milad Mohammadi Keshmarzi",74,48,55,61,61,74,65,57,57,70,83,87,63,85,68,65,61,68,67,12,10,13,6,71,48,74,,http://dbpedia.org/resource/Milad_Mohammadi
"T. Kolodziejczak","Timothée Kolodziejczak",74,26,72,72,30,55,59,34,67,65,71,69,47,79,80,62,49,75,75,14,6,10,16,75,81,74,,http://dbpedia.org/resource/Timothée_Kolodziejczak
"Álex Fernández","Alejandro Fernández Iglesias",68,72,58,82,45,73,71,69,78,74,65,55,68,75,59,76,85,69,66,16,14,12,16,65,55,74,,http://dbpedia.org/resource/Álex_Fernández
"Diego Mariño","Diego Mariño Villar",22,16,20,36,18,15,16,11,35,21,48,52,52,35,67,54,23,15,16,74,72,69,72,26,76,74,,http://dbpedia.org/resource/Diego_Mariño
"D. Johnson","Daniel Johnson",69,72,45,74,57,71,73,66,69,75,77,75,68,82,66,74,76,61,52,13,8,11,16,56,58,74,,http://dbpedia.org/resource/Daniel_Johnson_(footballer)
"G. Caprari","Gianluca Caprari",66,68,47,74,66,81,74,75,62,79,89,80,68,65,51,72,56,13,12,9,8,14,6,16,34,74,#Acrobat,http://dbpedia.org/resource/Gianluca_Caprari
"V. Fischer","Viktor Gorridsen Fischer",70,69,48,70,70,75,69,66,66,76,81,82,74,75,65,75,62,35,26,13,14,6,14,32,58,74,,http://dbpedia.org/resource/Viktor_Fischer
"O. Tannane","Oussama Tannane",64,71,48,72,72,75,81,72,72,76,77,80,80,65,77,76,70,34,37,9,6,7,11,36,57,74,,http://dbpedia.org/resource/Oussama_Tannane
"A. Duncan","Joseph Alfred Duncan",73,50,68,79,58,71,64,50,76,74,74,67,83,78,69,67,44,80,76,9,8,8,6,79,78,74,,http://dbpedia.org/resource/Alfred_Duncan
"Kévin Rodrigues","Kévin Manuel Rodrigues",79,65,73,80,42,70,65,51,76,76,70,67,58,64,60,70,50,75,76,11,14,11,15,65,60,74,,http://dbpedia.org/resource/Kévin_Rodrigues
"André Ramalho","André Ramalho Silva",46,51,80,73,42,62,58,68,75,68,55,43,76,74,72,66,42,74,71,7,12,14,13,78,89,74,,http://dbpedia.org/resource/André_Ramalho
"M. Benassi","Marco Benassi",68,66,68,78,70,76,68,64,74,78,63,60,80,76,72,70,52,74,70,11,7,5,12,70,66,74,,http://dbpedia.org/resource/Marco_Benassi
"Luiz Phellype","Luiz Phellype Luciano Silva",62,76,82,63,75,71,67,68,36,72,55,55,85,73,88,61,76,34,22,13,10,16,11,31,67,74,#Strength,http://dbpedia.org/resource/Luiz_Phellype
Gilberto,"Gilberto Moraes Júnior",74,52,64,72,38,71,42,65,64,70,78,73,62,72,68,68,51,76,73,8,14,15,10,74,62,74,,"http://dbpedia.org/resource/Gilberto_(footballer,_born_1993)"
"F. Meza","Francisco Javier Meza Palma",44,45,75,67,25,59,30,40,69,67,59,64,45,67,76,46,33,75,77,9,14,11,15,78,84,74,,http://dbpedia.org/resource/Francisco_Meza
"H. Villalba","Héctor Daniel Villalba",58,66,60,67,70,79,69,55,60,76,93,93,85,73,56,68,64,52,30,13,8,8,10,38,52,74,"#Speedster, #Acrobat",http://dbpedia.org/resource/Héctor_Villalba
"A. Aguerre","Alan Aguerre",14,20,17,27,16,17,18,18,23,19,49,43,47,34,62,56,22,19,12,75,72,63,72,19,71,74,,http://dbpedia.org/resource/Alan_Aguerre
"L. Janson","Lucas Ezequiel Janson",59,75,67,71,71,77,59,49,59,75,87,83,69,75,49,71,69,31,29,12,12,8,9,33,87,74,,http://dbpedia.org/resource/Lucas_Janson
"Carlos Mané","Carlos Manuel Cardoso Mané",67,69,64,68,72,80,81,42,60,74,83,81,77,62,35,72,65,34,33,16,14,10,9,49,66,74,#Acrobat,http://dbpedia.org/resource/Carlos_Mané
"J. Calleri","Jonathan Calleri",56,74,78,67,71,73,62,38,59,74,65,67,78,73,71,67,76,39,32,11,12,8,8,37,81,74,,http://dbpedia.org/resource/Jonathan_Calleri
"M. Doumbia","Moussa Doumbia",69,68,42,73,66,77,66,62,66,75,82,82,73,74,62,67,58,37,44,8,12,8,8,28,70,74,,"http://dbpedia.org/resource/Moussa_Doumbia_(footballer,_born_1989)"
"Pol Llonch","Pol Llonch Puyaltó",55,43,44,68,53,62,53,55,60,66,78,77,65,87,65,57,51,78,73,16,13,14,12,80,80,74,,http://dbpedia.org/resource/Pol_Llonch
"C. Domínguez","Cecilio Andrés Domínguez Ruiz",69,68,56,72,63,75,68,71,66,74,80,79,74,74,68,70,71,33,32,15,10,12,15,45,66,74,,http://dbpedia.org/resource/Cecilio_Domínguez
"João Novais","João Pedro Barradas Novais",76,72,45,76,67,78,78,81,75,77,68,64,86,76,71,76,75,56,48,5,12,8,11,50,65,74,,http://dbpedia.org/resource/João_Novais
"E. Akbaba","Emre Akbaba",71,69,62,76,68,74,76,74,77,75,69,72,77,83,61,77,75,55,45,14,11,6,11,51,58,74,,http://dbpedia.org/resource/Emre_Akbaba
"G. Cimirot","Gojko Cimirot",65,64,58,75,61,72,61,64,75,75,68,65,73,87,66,73,60,70,68,8,15,9,7,76,72,74,,http://dbpedia.org/resource/Gojko_Cimirot
"J. Gressel","Julian Gressel",78,64,60,75,60,72,75,52,66,72,71,72,69,85,74,77,62,64,59,10,6,7,13,62,61,74,,http://dbpedia.org/resource/Julian_Gressel
Rodrigo,"Rodrigo Alves Soares",76,48,58,73,44,75,71,70,73,73,75,73,80,76,70,76,67,70,70,12,14,9,8,72,80,74,,http://dbpedia.org/resource/Rodrigo_Soares
"V. Buyalskyi","Vitaliy Buyalskyi",64,69,38,75,52,75,54,50,69,73,70,72,66,78,34,75,49,74,69,14,11,10,11,75,54,74,,http://dbpedia.org/resource/Vitaliy_Buyalskyi
"A. McGregor","Allan James McGregor",11,20,13,36,15,20,20,14,39,29,33,41,50,30,71,61,23,13,15,74,71,66,73,20,73,74,,http://dbpedia.org/resource/Allan_McGregor
"M. Topal","Mehmet Topal",49,58,70,72,54,65,60,54,65,70,57,51,77,74,75,58,68,77,73,15,10,15,9,86,80,74,#Tactician,http://dbpedia.org/resource/Mehmet_Topal
"A. Turan","Arda Turan",76,68,65,78,78,77,79,64,77,76,67,56,75,48,57,77,73,63,60,11,7,11,12,61,70,74,,http://dbpedia.org/resource/Arda_Turan
Rubén,"Rubén Iván Martínez Andrade",12,14,12,31,11,15,11,28,32,20,44,46,55,41,60,49,25,13,12,73,72,73,74,18,75,74,,"http://dbpedia.org/resource/Rubén_Martínez_(footballer,_born_1984)"
"D. Cvitanich","Darío Cvitanich",65,76,75,75,73,66,67,66,66,80,63,54,73,56,70,74,80,32,34,15,12,15,12,33,77,74,,http://dbpedia.org/resource/Darío_Cvitanich
"G. Hoarau","Guillaume Hoarau",66,78,84,73,74,68,66,59,64,72,40,46,78,52,90,68,81,53,35,1,1,1,1,34,77,74,#Strength,http://dbpedia.org/resource/Guillaume_Hoarau
"Salva Sevilla","Salvador Sevilla López",75,64,53,80,56,71,81,83,82,78,38,47,81,60,62,82,71,50,38,14,14,9,13,55,34,74,,http://dbpedia.org/resource/Salva_Sevilla
"C. Gentner","Christian Gentner",68,69,79,76,73,69,70,55,74,73,34,33,80,69,77,75,64,77,76,15,11,16,7,75,61,74,,http://dbpedia.org/resource/Christian_Gentner
"B. Wright-Phillips","Bradley Wright-Phillips",49,78,79,65,67,68,66,50,52,69,66,65,79,64,65,60,65,29,25,12,13,13,10,44,74,74,,http://dbpedia.org/resource/Bradley_Wright-Phillips
Cássio,"Cássio Albuquerque dos Anjos",11,11,12,25,14,12,12,13,22,22,34,40,51,30,64,60,24,17,14,76,74,68,69,22,70,74,,http://dbpedia.org/resource/Cássio_Albuquerque_dos_Anjos
"Marcelo Grohe","Marcelo Grohe",10,12,14,35,10,11,18,13,22,23,43,32,50,28,65,63,24,10,17,74,72,66,75,27,45,74,,http://dbpedia.org/resource/Marcelo_Grohe
"E. Viviano","Emiliano Viviano",12,17,13,36,13,18,14,16,37,22,30,33,53,29,58,60,21,10,12,73,74,70,77,10,66,74,,http://dbpedia.org/resource/Emiliano_Viviano
"S. Long","Shane Long",72,72,76,65,69,74,54,37,49,71,85,79,77,65,64,64,72,27,24,11,13,10,11,42,93,74,,http://dbpedia.org/resource/Shane_Long
"F. Bastians","Felix Bastians",72,52,72,72,68,56,69,60,68,55,69,50,73,83,83,58,65,74,73,6,8,14,11,75,78,74,,http://dbpedia.org/resource/Felix_Bastians
"D. Buonanotte","Diego Mario Buonanotte Rende",72,62,36,71,61,77,78,76,70,77,81,85,69,55,29,72,71,31,18,15,16,16,9,25,64,74,#Acrobat,http://dbpedia.org/resource/Diego_Buonanotte
"Mario Suárez","Mario Suárez Mata",64,66,68,75,43,70,66,70,75,74,39,50,80,72,82,71,59,73,71,9,13,16,12,76,57,74,,http://dbpedia.org/resource/Mario_Suárez_(footballer)
"G. Svensson","Gustav Svensson",49,34,65,75,45,64,55,33,69,70,47,35,66,85,77,64,45,73,72,15,12,11,16,73,73,74,,http://dbpedia.org/resource/Gustav_Svensson
"N. Dirar","Nabil Dirar",71,62,47,74,62,77,75,62,62,78,77,79,70,69,75,68,52,56,50,6,8,8,15,58,80,74,,http://dbpedia.org/resource/Nabil_Dirar
"Kiko Casilla","Francisco Casilla Cortés",24,14,13,34,12,19,25,25,28,30,44,49,54,40,76,62,23,15,11,74,72,72,72,20,69,74,,http://dbpedia.org/resource/Kiko_Casilla
Fabricio,"Fabricio Martín Agosto Ramírez",15,14,14,44,13,25,19,15,40,35,59,54,53,40,53,51,22,14,11,73,75,71,71,26,72,74,,http://dbpedia.org/resource/Fabricio_Agosto
"K. Grosicki","Kamil Grosicki",72,71,69,68,72,73,73,78,71,74,85,78,74,63,66,75,65,28,20,16,10,15,14,48,52,74,,http://dbpedia.org/resource/Kamil_Grosicki
"E. Pieters","Erik Pieters",72,32,73,73,34,70,70,56,64,71,64,67,51,73,77,65,59,74,73,16,15,8,12,73,74,74,,http://dbpedia.org/resource/Erik_Pieters
Varela,"Fernando Lopes dos Santos Varela",59,43,75,56,38,55,51,47,51,61,68,65,45,72,87,52,54,76,73,6,9,13,12,76,81,74,#Strength,http://dbpedia.org/resource/Fernando_Varela_(Cape_Verdean_footballer)
Mosquera,"Pedro Mosquera Parada",61,58,65,73,51,65,79,70,71,71,63,34,61,83,68,73,51,72,66,10,15,8,14,74,70,74,,http://dbpedia.org/resource/Pedro_Mosquera
"C. Cathcart","Craig Cathcart",39,29,77,68,30,47,39,39,64,58,38,36,56,63,77,52,28,77,75,8,6,12,9,75,70,74,,http://dbpedia.org/resource/Craig_Cathcart
"D. McGoldrick","David McGoldrick",63,73,71,78,70,77,68,65,68,78,64,66,72,69,71,76,78,27,19,15,7,10,10,25,74,74,,http://dbpedia.org/resource/David_McGoldrick
"A. Ranocchia","Andrea Ranocchia",45,22,77,67,24,58,30,34,65,67,31,33,59,51,74,56,34,80,76,12,15,11,12,79,66,74,"#Aerial Threat",http://dbpedia.org/resource/Andrea_Ranocchia
Oier,"Oier Olazábal Paredes",23,14,15,34,12,20,24,15,36,20,45,43,53,43,66,46,25,18,16,74,71,70,77,20,66,74,,http://dbpedia.org/resource/Oier_Olazábal
"F. Frei","Fabian Frei",74,71,69,73,72,69,73,67,75,73,63,66,74,82,73,78,66,69,67,12,15,8,11,73,70,74,,http://dbpedia.org/resource/Fabian_Frei
"G. Sio","Giovanni-Guy Yann Sio",68,74,71,73,73,72,73,69,67,75,75,78,78,80,79,74,72,18,12,15,9,10,15,18,71,74,,http://dbpedia.org/resource/Giovanni_Sio
Zanka,"Mathias Jattah-Njie Jørgensen",47,34,75,66,40,46,30,26,62,62,63,66,64,68,83,65,27,77,70,16,9,9,14,74,73,74,,http://dbpedia.org/resource/Mathias_Jørgensen
"S. Terodde","Simon Terodde",50,78,79,64,75,63,38,44,40,72,52,71,79,66,85,59,71,42,19,8,9,15,16,23,65,74,,http://dbpedia.org/resource/Simon_Terodde
"N. Müller","Nicolai Müller",72,75,53,73,78,81,65,61,64,74,73,71,71,66,55,71,73,46,37,6,16,6,7,48,73,74,,http://dbpedia.org/resource/Nicolai_Müller
"J. Faussurier","Julien Faussurier",77,60,58,75,50,68,62,49,73,74,66,66,56,84,66,75,62,74,71,6,14,10,13,71,90,74,,http://dbpedia.org/resource/Julien_Faussurier
"M. Carcela-González","Mehdi Carcela-González",73,69,35,71,70,82,81,71,66,80,77,72,75,58,49,69,65,38,30,8,15,14,7,39,74,74,,http://dbpedia.org/resource/Mehdi_Carcela
"M. Lang","Michael Lang",71,68,78,73,65,63,45,55,73,73,62,55,71,75,77,55,59,77,76,12,8,9,10,73,81,74,,"http://dbpedia.org/resource/Michael_Lang_(footballer,_born_1991)"
"D. Welbeck","Daniel Nii Tackie Mensah Welbeck",69,75,76,67,68,73,61,62,64,72,73,79,77,52,73,70,70,38,33,9,10,6,12,32,80,74,,http://dbpedia.org/resource/Danny_Welbeck
"R. Zieler","Ron-Robert Zieler",15,10,13,25,12,12,11,10,22,22,46,50,53,32,55,42,24,12,13,73,69,70,74,21,69,74,,http://dbpedia.org/resource/Ron-Robert_Zieler
"M. Rybus","Maciej Rybus",75,66,47,75,65,72,77,76,65,70,78,76,75,74,60,69,67,73,68,14,6,13,16,73,74,74,,http://dbpedia.org/resource/Maciej_Rybus
"F. Navarro","Fernando Navarro Morán",70,50,50,72,39,66,65,59,63,70,85,86,68,81,58,56,64,72,73,13,14,6,16,69,92,74,,http://dbpedia.org/resource/Fernando_Navarro_Morán
Claudemir,"Claudemir Domingues de Souza",67,63,67,76,67,72,67,68,72,74,58,61,73,73,71,73,60,72,68,15,13,11,13,75,62,74,,http://dbpedia.org/resource/Claudemir_de_Souza
Juanfran,"Juan Francisco Moreno Fuertes",72,57,69,73,53,71,64,60,67,79,70,78,79,74,70,63,59,73,73,13,9,13,10,69,74,74,,"http://dbpedia.org/resource/Juanfran_(footballer,_born_1988)"
"M. Schmelzer","Marcel Schmelzer",71,34,68,72,47,63,73,64,63,68,68,65,75,65,74,52,46,75,74,14,10,15,9,76,75,74,,http://dbpedia.org/resource/Marcel_Schmelzer
"A. N'Diaye","Alfred John Momar N'Diaye",66,58,59,74,46,68,51,32,73,73,67,71,74,73,89,71,54,71,71,11,7,13,15,73,68,74,#Strength,http://dbpedia.org/resource/Alfred_N'Diaye
"J. Livermore","Jake Livermore",65,59,66,74,60,66,68,58,72,74,64,61,72,87,76,65,57,72,66,9,15,8,10,70,69,74,,http://dbpedia.org/resource/Jake_Livermore
"R. Jack","Ryan Jack",62,57,66,75,51,69,63,52,75,75,64,66,70,91,74,70,54,78,72,12,16,11,8,79,69,74,#Engine,http://dbpedia.org/resource/Jack_Ryan_(English_footballer)
Quique,"Enrique González Casín",69,77,72,66,69,72,68,59,61,70,76,71,72,66,72,62,71,37,32,14,13,10,12,44,76,74,#Acrobat,http://dbpedia.org/resource/Quique_González_(footballer)
"S. Zuber","Steven Zuber",73,72,68,73,57,76,76,66,69,77,76,73,80,77,76,74,62,73,68,15,15,7,14,76,65,74,,http://dbpedia.org/resource/Steven_Zuber
"Rubén Pérez","Rubén Salvador Pérez del Mármol",52,58,56,78,26,62,55,57,75,72,44,35,79,72,70,76,64,78,71,11,8,13,9,80,71,74,,"http://dbpedia.org/resource/Rubén_Pérez_(footballer,_born_1989)"
"M. Samassa","Mamadou Samassa",10,11,13,27,13,12,10,10,22,19,43,59,52,35,81,26,18,11,12,75,68,69,71,19,47,74,,"http://dbpedia.org/resource/Mamadou_Samassa_(footballer,_born_1990)"
Balenziaga,"Mikel Balenziaga Oruesagasti",76,35,71,70,50,68,76,33,69,72,72,75,61,76,72,62,44,73,71,15,10,7,6,72,77,74,,http://dbpedia.org/resource/Mikel_Balenziaga
Etxeita,"Xabier Etxeita Gorritxategi",36,29,77,67,38,47,35,43,59,65,34,49,54,68,80,30,30,75,76,6,7,8,10,74,78,74,,http://dbpedia.org/resource/Xabier_Etxeita
"T. Arslan","Tolgay Ali Arslan",67,58,58,79,65,77,76,72,75,75,75,72,82,65,65,69,76,74,69,6,11,10,6,76,56,74,,http://dbpedia.org/resource/Tolgay_Arslan
"G. Töre","Gökhan Töre",79,66,59,73,59,78,75,68,76,78,80,80,74,62,75,71,66,38,32,11,10,7,12,43,58,74,,http://dbpedia.org/resource/Gökhan_Töre
"V. Berisha","Valon Berisha",63,66,42,74,68,77,72,66,72,78,79,67,76,84,71,76,69,58,54,6,14,15,15,57,79,74,,http://dbpedia.org/resource/Valon_Berisha
Rafael,"Rafael Cabral Barbosa",18,10,13,33,18,17,12,11,31,24,52,56,48,32,68,43,23,11,17,74,73,64,72,29,62,74,,http://dbpedia.org/resource/Rafael_Cabral
"M. Lestienne","Maxime Lestienne",71,72,47,72,69,80,75,69,67,74,77,75,73,70,37,72,69,27,34,9,15,12,11,35,76,74,,http://dbpedia.org/resource/Maxime_Lestienne
"M. Jajalo","Mato Jajalo",66,58,68,80,64,76,70,72,78,78,60,65,73,79,77,70,68,74,70,9,13,6,7,74,71,74,,http://dbpedia.org/resource/Mato_Jajalo
"A. Luthe","Andreas Luthe",14,12,15,24,12,12,15,12,19,14,35,43,46,36,74,49,21,14,12,74,69,61,75,21,61,74,,http://dbpedia.org/resource/Andreas_Luthe
Douglas,"Douglas Pereira dos Santos",76,59,49,75,56,79,76,56,69,70,77,83,78,64,57,60,59,75,73,9,12,16,15,64,75,74,,"http://dbpedia.org/resource/Douglas_(footballer,_born_1990)"
"A. Gray","Andre Gray",61,76,65,65,68,71,57,44,54,70,83,86,80,71,73,67,74,23,20,11,16,11,9,33,72,74,,http://dbpedia.org/resource/Andre_Gray
"C. Dawson","Craig Dawson",65,49,80,65,20,57,45,24,62,67,55,62,57,72,77,51,66,73,75,7,8,7,7,75,82,74,,http://dbpedia.org/resource/Craig_Dawson
"M. Faraoni","Marco Davide Faraoni",75,61,65,76,74,74,73,68,72,75,74,73,76,84,67,67,66,72,73,11,8,13,12,69,71,74,,http://dbpedia.org/resource/Davide_Faraoni
"J. Bruma","Jeffrey Bruma",40,38,81,66,34,59,43,66,65,56,52,75,84,55,90,58,39,75,72,11,16,16,12,70,61,74,#Strength,http://dbpedia.org/resource/Jeffrey_Bruma
"T. Gutiérrez","Teófilo Antonio Gutiérrez Roncancio",70,75,70,75,74,77,67,63,69,81,57,52,75,49,77,76,67,26,20,14,13,11,6,25,81,74,,http://dbpedia.org/resource/Teófilo_Gutiérrez
"Iñigo Pérez","Iñigo Pérez Soto",76,61,62,76,59,59,80,79,77,76,62,57,73,78,70,76,49,75,73,9,8,7,16,71,76,74,,http://dbpedia.org/resource/Iñigo_Pérez
"Gabriel Silva","Gabriel Moisés Antunes da Silva",75,54,53,75,59,70,73,58,72,72,72,72,72,73,62,60,57,73,70,15,6,10,5,69,71,74,,"http://dbpedia.org/resource/Gabriel_Silva_(footballer,_born_1991)"
"M. Linnes","Martin Linnes",69,57,55,68,47,72,65,38,62,73,86,86,60,80,60,63,41,72,71,13,10,6,11,72,66,74,,http://dbpedia.org/resource/Martin_Linnes
"Sergio León","Sergio León Limones",60,76,70,68,75,75,73,64,51,74,77,74,80,67,63,61,72,33,21,9,8,9,11,35,73,74,,http://dbpedia.org/resource/Sergio_León
"G. Tzavellas","Georgios Tzavellas",74,53,69,67,63,57,81,75,70,69,68,67,79,70,79,49,64,74,72,12,14,6,14,70,77,74,,http://dbpedia.org/resource/Georgios_Tzavellas
"B. Linssen","Bryan Linssen",70,74,82,68,75,73,74,64,63,75,82,75,76,77,58,69,54,43,41,7,16,6,11,41,87,74,,http://dbpedia.org/resource/Bryan_Linssen
